"methane","cpi","export","import","ip"
1701.08,10.69,27.32,44.42,56.25
1702.47,10.83,28.14,45.53,56.69
1703.58,11.03,27.45,44,57.27
1703.37,11.3,27.38,46.32,56.91
1700.21,11.67,28.14,44.9,57.55
1698.2,12.15,27.41,43.82,57
1701.98,12.5,27.54,45.13,57.44
1707.19,12.82,27.73,44.03,57.4
1710.52,13.21,27.75,45.75,57.36
1713.12,13.58,27.91,44.98,57.64
1713.23,14.05,28.31,42.55,57.98
1712.14,14.76,28.74,45.46,57.98
1713.54,15.42,28.98,42.86,58.22
1714.42,16.19,29.17,45.56,58.94
1712.55,16.43,29.03,43.25,57.91
1710.65,16.62,29.81,44.05,58.77
1708.47,16.84,29.56,43.87,58.94
1706.56,17.07,29.59,44.35,58.99
1710.22,17.53,30.5,44.49,59.29
1717.59,17.8,30.77,43.71,59.65
1722.01,18.07,32.17,46.07,59.54
1723.47,18.35,32.38,45.12,59.33
1723.29,18.62,32.07,41.74,59.19
1721.57,19.21,32.28,42.93,59.66
1721.25,19.61,31.97,40.95,59.57
1722.06,19.87,30.56,40.42,59.41
1722.37,20.12,34.04,41.23,59.25
1722.07,20.39,34.4,41.58,59.63
1718.88,20.68,34.18,41.04,59.77
1715.95,21.07,34.29,41.56,60.19
1719.12,21.48,34.67,41.94,60.04
1726.05,21.83,34.64,42.42,60.21
1732.71,22.27,35.58,43.35,60.54
1737.47,22.68,36.03,42.34,60.44
1739.58,23.09,36.05,42.36,59.74
1738.93,25.93,35.86,42.34,60.48
1737.38,26.69,36.98,41.81,60.97
1736.92,27.49,35.78,42.98,60.92
1736.64,28.16,36.15,43.61,60.97
1734.97,28.81,36.06,44.07,60.6
1731.58,29.55,37.3,44.94,60.9
1728.81,30.18,38.04,44.85,61.12
1730.33,30.79,37.47,45.23,60.69
1734.61,31.52,38,45.34,61.28
1737.67,32.46,38.51,45.63,61.43
1739.23,33.3,36.72,45.31,61.2
1738.56,34.13,36.86,45.51,60.75
1735.77,34.9,35.31,44.63,61.16
1734.37,35.72,36.93,44.15,62.11
1735.39,36.62,37.05,47.87,61.99
1736.58,37.58,37.52,47.31,62.1
1735,38.63,37.7,46.57,62.24
1730.89,39.72,36.98,47.75,62.21
1728.01,40.97,37.23,46.64,62.26
1731.14,42.32,37.13,46.34,62.16
1738.45,43.6,38.7,47.41,62.54
1743.38,44.83,38.74,48.89,62.45
1745.22,45.95,38.33,47.91,62.6
1744.29,47.02,39.76,47.42,62.84
1741.42,48.13,38.55,47.9,62.96
1740.89,49.23,38.89,48.12,63.18
1741.96,50.43,40.64,49.77,63.52
1741.93,51.75,41.28,50.37,64.24
1740.64,53.04,42.05,51.12,64.34
1736.9,54.47,43.81,52.78,64.8
1732.39,55.13,43.69,52.95,64.86
1734.06,55.75,45.22,53.96,65.77
1742.89,56.3,45.48,54.08,66.11
1749.76,56.96,45.46,54.33,66.53
1751.23,57.62,46.45,55.9,67.15
1751.61,58.25,47.39,55.25,67.69
1751.12,59.01,47.73,56.3,67.67
1749.51,59.61,48.93,55.54,67.52
1749,60.2,50.64,56.87,67.63
1749.42,60.87,50.79,57.72,67.78
1747.65,61.51,51.68,57.38,68.04
1742.84,62.11,52.4,57.63,68.16
1740.16,62.62,51,57.35,68.03
1743.58,63.1,51.37,56.84,68.54
1749.77,63.57,52.03,57.5,68.57
1754.34,63.95,51.55,56.6,68.48
1755.51,64.32,52.51,56.63,68.93
1753.86,64.64,52.49,57.09,69.39
1752.23,65.06,51.84,57.79,69.37
1752.75,65.41,52.6,57.4,69.36
1752.22,65.82,52.36,57.48,69.7
1749.59,66.28,52.52,57.84,70.04
1748.3,66.71,52.58,59.52,70.69
1746.05,67.06,51.66,59.07,70.56
1742.05,67.46,52.66,59.11,70.95
1744.29,67.8,53.29,59.99,71.27
1752.64,68.09,52.82,60.47,71.41
1758.89,68.4,54.76,59.7,71.93
1760.04,68.72,54.17,60.34,72.2
1756.92,69.09,53.97,61.35,72.45
1753.38,69.45,55.12,61.38,72.83
1753.86,70.04,54.27,61.51,73.1
1755.68,70.34,54.84,61.38,73.74
1755.53,70.7,55.59,62.42,74.45
1753.8,70.96,56.46,63.19,74.5
1750.09,71.28,56.91,62.65,75.05
1746.04,71.59,57.5,64.04,75.65
1747.75,71.94,55.97,64.13,75.73
1754.98,72.21,57.15,64.66,76.1
1760.28,72.46,58.28,64.74,76.76
1761.71,72.7,56.81,63.74,76.33
1761.89,73,57.09,64.98,76.52
1761.44,73.42,55.94,64.44,76.32
1761.44,73.88,56.4,64.14,76.46
1762.95,74.16,55.81,66.03,76.43
1764.69,74.43,55.37,65.93,76.69
1764.24,74.83,55.01,65.89,76.54
1760.33,75.18,54.78,64.45,76.46
1756.15,75.57,54.52,64.02,76.45
1760.19,75.93,53.19,64.9,76.4
1770.67,77.19,54.67,65.2,76.79
1776.23,77.6,55.04,66.56,76.83
1775.48,77.96,55.06,66.5,76.83
1774.04,78.36,55.53,65.49,77
1773.79,78.64,53.67,66.15,77.08
1773.9,78.86,53.26,67.9,77.45
1774.58,79.15,54.63,67.63,77.96
1774.95,79.53,54.1,68.22,78.3
1772.66,79.76,54.47,70.2,78.6
1767.35,79.95,54.73,72.46,78.78
1762.94,80.29,56.09,73.26,79.26
1764.62,80.58,57.23,73.63,79.6
1771.01,80.89,58.34,73.89,80.1
1776.61,81.18,59.22,74.93,80.42
1778.55,81.4,59.84,75.68,81.4
1777.24,81.64,60.48,77.27,82.35
1775.53,81.95,62.06,77.69,81.67
1775.45,82.27,63.3,79.02,82.77
1776.5,82.57,62.46,81.24,83.21
1777.2,82.66,62.86,81.34,83.58
1774.57,82.94,63.64,81.53,84.35
1768.14,83.38,65.38,83.8,84.6
1763.46,83.73,64.61,83.82,84.96
1765.45,83.96,65.82,84.08,85.43
1772.05,84.35,64.71,85.85,85.26
1777.09,84.56,65.18,85.42,85.41
1777.73,84.88,64.97,83.62,85.78
1775.32,85.13,65.52,83.17,85.87
1772.87,85.42,65.59,84.13,85.29
1772.53,85.71,65.8,79.86,85.55
1773.66,85.98,64.2,81.01,85.18
1773.87,86.43,62.47,77.95,84.66
1770.87,86.93,62.33,75.17,84.98
1766.11,87.24,61.47,74.87,84.64
1763.02,87.39,60.06,73.97,83.92
1764.51,87.58,61.98,73.09,84.65
1770.45,87.84,59.84,71.54,83.94
1775.48,87.95,60.03,72.02,83.54
1776.57,88.09,59.5,71.01,83.47
1775.93,88.26,58.26,68.32,83.06
1774.09,88.66,60.26,70.5,84.08
1772.82,88.88,59.55,72.03,84.17
1773.41,89.16,60.29,71.76,84.82
1772.74,89.57,63.17,74.97,85.61
1770.3,89.85,63.24,75.22,86.09
1766.91,90.06,63.86,76.31,85.99
1764.21,90.36,67.37,75.64,86.72
1766.85,90.65,66.58,77.39,87.05
1773.67,90.89,67.34,76.98,87.32
1778.25,91.13,67.33,74.87,87.54
1779.5,91.5,67.25,78.81,87.88
1779.65,91.76,67.05,79.71,87.3
1777.53,92.24,70.85,78.46,88.63
1774.83,92.62,70.88,77.6,89.06
1774.85,92.96,70.29,80.23,89.01
1775.8,93.02,71.28,78.89,88.97
1774.45,93.07,72.51,78.58,88.7
1771.69,93.19,72.98,79.1,89.02
1770.7,93.41,73.84,80.12,90
1774.3,93.65,71.82,77.43,89.7
1780.56,93.99,75.31,80,90.63
1784.68,94.18,78.09,81.09,91.6
1785.28,94.45,77.84,81.58,91.46
1783.53,94.72,82.23,83.83,92.65
1780.68,94.98,81.61,83.37,92.95
1779.67,95.25,84.24,85.51,93.8
1780.95,95.55,86.07,88.85,93.69
1780.86,95.81,85.8,88.6,94.52
1777.62,96.19,86.58,89.81,94.88
1772.26,96.53,88.37,92.21,95
1768.03,96.75,88.64,91.09,95.84
1769.8,97.04,89.09,91.97,95.76
1775.54,97.33,90.79,91.81,96.34
1779.76,97.72,91.93,94.56,96.65
1780.5,97.99,95.3,96.35,96.67
1778.26,98.11,96.29,95.21,97.34
1776.14,98.29,95.78,96.55,98.08
1775.75,98.65,97.01,98.23,98.38
1775.59,99.03,99.16,94.95,98.61
1774.78,99.31,100.11,99.16,99.36
1772.51,99.42,99.43,98.15,99.24
1768.81,99.57,99.62,99.51,99.74
1766.4,100.05,98.48,98.76,99.78
1768.16,100.4,100.66,99.42,100.39
1773.24,100.94,100.45,101.43,100.6
1778.58,101.36,100.76,104.6,101.01
1781.25,101.39,102.55,103.69,101.95
1780.26,101.58,105.97,105.54,102.87
1779.51,102.03,106.8,107.47,103.1
1779.48,102.25,108.46,104.38,103.55
1777.4,102.41,111.24,105.74,104.25
1776.11,102.85,110.32,105.58,104.39
1774.91,103.22,113.7,107.85,105.29
1769.24,103.49,114.8,107.78,105.56
1764.16,103.77,112.47,107.85,105.68
1767.24,104.13,116.34,109.86,106.33
1774.59,104.16,116.17,109.07,106.92
1778.24,104.23,116.36,106.43,106.55
1779.04,104.46,120.26,107.07,108.1
1779.92,104.97,121.04,109.18,108.88
1779.2,105.2,121.65,107.41,109.53
1778.6,105.5,122.54,106.38,109.68
1780.25,105.86,123.58,110.4,110.53
1781.11,106.21,125.44,108.61,110.57
1779.48,106.6,127.26,109.11,111.85
1775.62,107,126.33,110.27,111.95
1772.58,107.4,128.27,110.44,112.05
1777.19,107.82,131.03,110.24,113.19
1785.88,108.22,130.06,110.74,112.83
1789.85,108.73,137.42,111.73,114.03
1789.54,109.46,140.53,114.01,114.65
1788.19,109.96,138.39,112.44,115.19
1786.69,110.45,148.52,115.8,116.17
1785.81,111.14,150.09,118.21,116.64
1786.18,111.74,147.13,114.92,115.55
1786.88,112.24,155.12,119.67,116.25
1785.2,112.96,156.41,119.61,115.35
1780.47,113.86,155.92,120.43,115.23
1777.64,114.53,160.41,124.29,115.06
1781.05,114.69,154.49,119.3,113.96
1787.66,114.97,148.32,112.52,113.13
1793.67,114.99,140.56,112.36,111.88
1797.31,114.46,124.89,98.82,107.79
1796.6,114.04,118.71,92.26,104.92
1795.07,114.22,111.5,85.34,101.79
1795.6,114.48,108.06,80.21,101.62
1795.95,114.71,108.9,80.34,101.84
1795.54,114.92,109.1,79.4,102.47
1792.39,115.22,110.5,78.07,103.26
1786.95,115.68,115.95,79.66,104.37
1785.02,115.99,120.11,84.74,105.56
1788.91,116.45,119.35,83.72,106.46
1794.83,116.71,126.44,88.42,108.24
1798,117.02,131.01,90.13,108.83
1797.87,117.51,131.5,92.51,109.78
1796.67,117.87,137.35,95.13,110.47
1797.11,118.27,135.65,94.55,111.22
1798.78,118.5,138.52,97.03,111.95
1799.47,118.72,141.7,99.23,113.42
1799.58,119.03,142.99,99.03,114.06
1797.62,119.27,143.98,101.93,114.65
1792.48,119.51,146.75,104.6,114.89
1789.43,119.92,147.12,102.77,115.32
1794.1,120.29,148.38,105.75,115.97
1801.87,120.74,151.58,105.14,116.34
1806.6,121.28,156.39,105.71,117.26
1807,121.84,160.88,105.18,118.17
1803.28,122.43,163.11,108.19,119.21
1800.03,123.07,166.42,113.16,119.69
1800.04,123.45,167.16,109.98,119.48
1801.03,123.98,173.71,113.83,119.68
1802.81,124.51,174.46,113.17,119.32
1803.15,124.99,175.87,115.47,120.21
1799.09,125.31,176.22,115.51,121.09
1796.14,125.72,178.5,115.48,121.29
1799.05,126.1,180.55,115.06,121.86
1804.24,126.51,176.94,114.8,121.93
1809.69,126.9,174.15,115.32,121.41
1812.35,127.26,174.87,115.42,122.29
1810.03,127.53,173.88,117.65,123.43
1807.4,127.94,173.49,117.76,123.51
1808.37,128.29,175.67,114.55,125.03
1810.07,128.8,177.59,120.36,124.34
1808.48,129.2,174.11,117.54,123.91
1804.77,129.34,178.6,116.99,124.86
1801.01,129.47,173.73,115.74,124.52
1799.37,129.79,172.2,114.98,124.92
1803.3,130.39,172.43,114.05,124.92
1810.16,130.89,174.67,114.44,124.7
1814.84,131.24,173.39,112.37,125.13
1815.95,131.46,172.46,116.39,125.36
1814.59,131.89,174.8,113.66,125.7
1814.05,132.36,177.96,114.76,126.3
1814.15,132.9,178.63,115.85,126.24
1813.26,132.99,176.02,110.94,127.07
1812.82,133.19,177.29,113.71,127.42
1811.94,133.4,175.21,115.34,127.85
1808.62,133.9,173.81,112.6,127.51
1805.99,134.4,174.26,112.96,128.39
1808.53,134.83,177.34,112.91,128.88
1814.26,135.25,175.98,114.73,129.47
1818.51,135.56,178.77,114.55,129.78
1820.34,136.03,178.58,113.22,130.33
1819.35,136.31,177.52,112.18,130.29
1816.8,136.62,180.54,113.89,130.8
1816.32,136.97,173.97,114.35,131.46
1818.09,137.35,177.65,117.8,131.62
1820.87,137.81,181.57,118.55,132.51
1821.88,138.25,181.58,117.03,132.54
1818.31,138.57,177.71,115.67,132.82
1815.52,139.02,183.52,116.14,133.25
1819.69,139.3,179.46,115.62,132.32
1826.82,139.51,179.77,116.57,133.81
1831.18,139.71,177.26,116.65,133.6
1833.02,139.85,173.05,115.05,133.94
1833.54,140.04,172.74,116.98,134.72
1833.08,140,167.33,113.42,134.3
1832.93,140.54,166.31,109.19,134
1833.22,141.06,158.61,117.54,134.15
1833.17,141.38,161.43,112.49,134.48
1831.54,141.87,161.09,110.7,134.11
1827.14,142.21,163.39,112.23,134.73
1824.6,142.51,161.5,110.37,135.18
1829,142.83,155.94,111,134.98
1836.24,142.92,158,110.16,135.73
1841.5,143.16,157.26,108.33,135.95
1844.61,143.52,151.57,106.83,135.57
1844.77,143.81,154.42,106.89,135.38
1842.43,143.97,144.86,104.56,135.9
1841.65,144.36,151.39,107.5,136.58
1843.02,144.84,149.42,102.93,135.98
1843.74,145.29,152.77,104.3,136.53
1842.13,145.76,152.77,105.23,136.21
1837.84,146.25,155.24,107.21,137.29
1834.16,146.5,151.77,107.05,136.86
1836.69,146.61,156.87,107.37,137.77
1844.18,146.96,155.61,106.41,137.86
1849.87,147.32,154.35,106.35,138.17
1851.44,147.74,156.81,108.4,138.89
1851.05,148.15,160.03,108.84,139.48
1849.68,148.78,160.8,111.12,139.14
1848.4,148.99,160.73,109.3,139.8
1848.19,149.34,168.77,109.78,140.54
1848.53,149.7,164.35,111.19,140.98
1847.14,149.91,166.63,110.28,141.86
1842.94,150.12,167,110.71,142.19
1840.39,150.43,165.89,109.88,142.05
1844.64,150.89,171.56,109.53,143.37
1852.75,151.27,173.41,110.25,143.54
1858.01,151.55,169.84,111.89,143.38
1858.52,152.12,178.29,115.35,145.02
1856.51,152.6,179.1,117.51,145.86
1854.43,153.08,180.42,116.26,145.9
1854.98,153.43,184.15,118.2,146.2
1856.88,153.61,183.25,117.04,146.73
1856.69,153.99,184.29,117.55,147.24
1854.82,154.42,185.38,116.53,147.03
1852.03,154.98,184.09,116.94,147.61
1849.09,155.35,182.92,118.44,148.16
1851.92,155.94,183.38,118.14,148.86
1860.48,156.62,184.56,119.65,148.07
1865.76,157.06,185.39,120.26,148.93
1866.27,157.04,181.39,116.99,148.35
1866.03,157.07,174.79,118.7,148.32
1864.98,157.16,180.58,115.93,148.69
1865.03,157.65,177.37,115.72,148.56
1866.33,158.28,182.06,116.11,149.48
1865.31,158.96,178.35,114.59,149.94
1861.98,159.34,182.65,117.47,150.3
1858.79,159.6,176.13,114.9,148.86
1858.23,159.99,181.2,114.66,149.84
1862.9,160.43,177.71,114.53,149.83
1870.78,160.94,177.71,111.68,149.82
1875.42,161.55,178.44,110.07,149.73
1875.61,162.16,176.17,108.74,150.06
1874.62,162.88,177.45,110.97,149.85
1872.9,163.38,177.52,109.1,144.64
1872.29,163.71,157.59,107.17,146.12
1874.4,163.31,173.35,103.63,142.02
1875.79,162.97,144.55,92.16,122.82
1874.41,162.75,155.67,91,132.18
1871.99,163.39,174.73,94.87,142.62
1871.47,164.08,189.4,105.77,148.56
1876.39,164.5,189.99,108.51,150.25
1884.56,164.89,199.68,107.98,155.26
1889.96,165.12,202.42,111.1,157.2
1891.44,165.41,206.68,114.43,158.31
1890.96,166.11,213.19,115.25,159.88
1888.59,166.9,215.94,116.81,160.81
1886.65,167.25,220.46,116.35,159.25
1888.01,167.9,229.47,121.61,160.54
1890.78,168.46,233.95,120.31,165.44
1891.27,169.28,231.74,120.43,162.15
1888.09,169.95,237.05,122.18,165.15
1885.98,170.54,235.73,120.37,165.86
1892.31,171.11,238.79,121.68,165.66
1902.44,171.69,238.82,121.49,164.66
1907.9,173.01,244.31,122.33,166.27
1909.2,174.3,247.02,128.17,168.07
1907.95,175.37,249.47,129.61,169.36
1906.31,176.52,246.21,129.44,169.61
1906.41,177.66,253.5,130.23,170.7
1907.79,180.14,254.17,140.91,170.6
1908.83,181.72,252.98,135.29,169.38
1907.48,182.99,255.34,134.16,169.56
1904.85,184.4,259.8,132.66,171.56
1904.01,185.08,252.26,128.05,171.13
1908.32,185.69,251.24,126.95,171.67
1915.06,186.76,247.42,126.26,171.97
1919.43,187.99,236.09,126.89,170.6
1922.09,188.74,238.52,119.13,171.27
1921.99,189.29,236.17,121.66,170.63
1919.97,190.51,238.21,123.09,170.87
1918.93,191.33,228.9,120.73,171.79
1918.75,191.98,242.96,117.81,172.48
1920.06,192.72,229.65,120.09,170.77
1919.72,193.27,230.95,116.84,172.77
1915.46,194.06,226.21,115.94,173.06
1913.18,195.34,225.94,117.12,172.99
1917.09,196.71,231.85,116.14,174.37
1924.92,197.51,229.24,117.75,174
1930.59,198.06,226.63,117.81,173.65
1931.75,198.81,228.39,115.85,174.11
1931.12,199.8,228.97,116.92,173.93
1928.5,200.82,230.98,117.27,174.06
1926.47,202.14,236.34,120.06,175.23
1928.12,202.89,228.11,117.58,174.37
1929.45,203.7,230.02,120.82,174.96
1926.04,204.36,233.09,119.92,175.96
1921.35,204.97,228.89,120.85,175.97
1920.59,205.88,232.15,123.51,176.5
1926.11,206.57,233.77,121.62,176.42
1935.94,207.06,230.83,126.18,176.55
1941.81,207.8,235.65,118.93,177.6
1940.75,208.43,231.23,123.73,177.18
